dt,Y
0,9.104535496
1,11.54354357
2,11.08738498
3,10.91968174
4,6.841699775
5,7.970823405
6,9.65454461
7,3.22404188
8,1.898178744
9,0.058246951
10,2.149033423
11,7.201717127
12,4.433945688
13,-0.626581497
14,-5.523903877
15,1.034705923
16,-5.421732023
17,-7.229152988
18,-8.825250937
19,-3.558658088
20,-2.266923595
21,-1.839102968
22,1.11123778
23,2.434227881
24,1.741637185
25,3.304725778
26,-4.226271153
27,-11.50079228
28,-11.22113766
29,-13.86753598
30,-14.13140296
31,-10.70833227
32,-6.331670681
33,-1.250962992
34,1.120587364
35,0.529005313
36,-0.129799367
37,-4.296354516
38,6.085314718
39,0.586988286
40,-1.769819341
41,-2.640342745
42,2.246998335
43,6.444708539
44,-0.058212893
45,-1.749484895
46,-1.870849021
47,9.043910389
48,2.169132011
49,0.173189226
50,9.953616045
51,-0.051966288
52,4.921999867
53,9.853402898
54,13.46653418
55,4.114954934
56,-0.049427473
57,0.827416262
58,-0.286794222
59,3.924831372
60,0.37065867
61,-2.879506386
62,-2.876227243
63,-8.67920866
64,-6.436908464
65,-1.015941428
66,6.597536556
67,7.961683927
68,1.131899981
69,1.498551305
70,1.730273932
71,0.797944941
72,-0.342220122
73,0.138368626
74,0.614189931
75,-2.118505025
76,-5.747660707
77,-1.700275303
78,2.197011307
79,5.594386617
80,5.760930754
81,2.219226132
82,-1.955629319
83,-0.597305968
84,-2.104327758
85,-4.170602713
86,-4.86199612
87,-5.178388363
88,-6.462300885
89,-1.521588828
90,-3.92763799
91,-3.370962542
92,-5.728368495
93,2.227994786
94,3.774091866
95,7.530838665
96,0.057120142
97,1.928387448
98,-1.695032425
99,7.072741454
100,-0.885496016
101,7.032845654
102,2.230950922
103,4.400843839
104,-6.788697515
105,-6.740427256
106,-6.516817132
107,-5.540497535
108,-3.308617928
109,3.865909422
110,3.602123528
111,7.124562292
112,0.741473659
113,-1.790238294
114,8.086126108
115,7.915005334
116,-2.822126552
117,-2.399782264
118,-9.378016149
119,-9.42059061
120,-5.533302228
121,-2.111722877
122,0.194204407
123,2.393761493
124,4.034696231
125,3.474780582
126,4.029237215
127,6.29807583
128,-0.627742817
129,3.161709515
130,0.871287482
131,-7.670863277
132,-13.15579788
133,-14.34014866
134,-7.695804915
135,-2.807389792
136,2.389608263
137,9.01852155
138,6.365446031
